#wrong pairs,#instances
0,0
1,17
2,49
3,102
4,133
5,166
6,165
7,123
8,100
9,75
10,47
11,25
12,14
13,4
14,2
15,2
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
