Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.090277777777777901e-02,2.687251984126984294e-02,3.071676587301587144e-02,3.474702380952381098e-02,3.071676587301587144e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.904265873015873106e-02,3.090277777777777901e-02,2.687251984126984294e-02,3.071676587301587144e-02,3.474702380952381098e-02,3.071676587301587144e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.528521825396825434e-02,2.243303571428571438e-02,2.619047619047619110e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.528521825396825434e-02,2.528521825396825434e-02,2.243303571428571438e-02,2.619047619047619110e-02,2.904265873015873106e-02,2.619047619047619110e-02,2.904265873015873106e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.690476190476190549e-02,3.111359126984127033e-02,3.287450396825396942e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.690476190476190549e-02,3.111359126984127033e-02,3.287450396825396942e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.474702380952381098e-02,3.474702380952381098e-02,3.287450396825396942e-02,3.189484126984126755e-02,3.474702380952381098e-02,3.287450396825396942e-02,3.474702380952381098e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.474702380952381098e-02,3.474702380952381098e-02,3.287450396825396942e-02,3.189484126984126755e-02,3.474702380952381098e-02,3.287450396825396942e-02,3.474702380952381098e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.090277777777777901e-02,2.904265873015873106e-02,3.071676587301587144e-02,2.687251984126984294e-02,2.904265873015873106e-02,3.071676587301587144e-02,3.474702380952381098e-02,0.000000000000000000e+00
