A0,A1,B0,B1,Irrelevant,Correlated
3.546538340826052571e-01,3.992018651346225244e-01,4.105962754805907444e-01,3.320993918847191528e-01,8.903619599499340564e-03,1.053569906819243254e-03
3.572544280869028310e-01,4.001453775667109802e-01,4.065788531997950317e-01,3.299336431380427426e-01,1.443895350132049296e-02,2.192515744705160301e-03
3.449082960232844886e-01,4.021707918730690334e-01,3.452947911494744782e-01,4.038373698758611074e-01,2.142067781952365288e-02,6.240053483078164889e-03
3.554533284068674970e-01,4.038688722007929832e-01,3.514705983645869947e-01,3.869464145492303997e-01,4.832243410711930566e-03,1.543043348610867622e-02
3.416605960080354443e-01,4.024834652774321175e-01,3.507013683289256778e-01,4.094961008030730820e-01,3.922909719914313524e-04,2.697952458732316336e-04
3.598266523581696852e-01,3.979813160683031703e-01,3.608020951423639988e-01,4.230334290092008787e-01,8.033977733972515883e-03,1.291567814561840957e-02
3.246456433243017359e-01,3.858289175170504515e-01,3.967673232682524809e-01,3.875290802577212035e-01,4.337962962991533632e-03,2.063275978989860884e-02
3.235233473843535656e-01,3.774371208293718083e-01,4.165340315838223506e-01,3.983161688509612719e-01,6.700461380583086967e-04,6.407526253543560472e-04
3.361162303513396399e-01,3.754913356448444928e-01,4.032508021625585415e-01,4.003003532357952698e-01,9.409647115432824907e-03,5.469459110874991779e-03
3.296428096736621627e-01,3.788619035677096014e-01,4.054115871359764700e-01,4.137216039488786912e-01,2.387950398947246127e-03,3.494098815663466626e-03
4.086690024397291454e-01,4.182155892814657938e-01,3.312059710577633931e-01,3.347888187001715199e-01,3.030391346487256322e-03,8.614262391341269854e-04
4.183939088015922181e-01,4.037387540560953836e-01,3.440410668807444838e-01,3.344828269070224125e-01,1.120286322818034655e-02,9.047501768315715847e-04
4.245338720626781193e-01,4.446737457021527340e-01,3.250638754722316448e-01,3.252405955869686616e-01,1.624835468628369264e-02,9.443979733535225532e-03
4.172027069729605242e-01,4.145940116968280242e-01,3.381478656899697399e-01,3.341989686923884095e-01,1.955366677527659025e-03,3.514662573220995404e-03
4.070764006592487161e-01,4.131533647723475422e-01,3.831606623976709924e-01,3.256257090341739269e-01,6.283921016231251190e-03,6.670844689057101734e-03
3.820335848297939374e-01,4.034227093509105688e-01,3.870562858993367716e-01,3.358614602664865001e-01,1.127387131650808838e-02,6.238781488627862665e-03
4.155157665489221386e-01,3.914774263302505108e-01,3.726617253825926790e-01,3.279773216242911071e-01,1.910961169876791363e-02,3.303170549223255221e-03
3.872611772094449178e-01,4.073164836983165782e-01,3.922550948957069239e-01,3.267897493765936079e-01,1.797114084656569995e-03,8.176476479398455191e-03
4.072185742119820984e-01,3.999394148589134335e-01,3.182429178400441039e-01,3.814073660785717301e-01,5.835529181297331204e-03,7.690231588440159076e-03
4.084689795505881960e-01,4.012355115190521793e-01,3.204979258002043085e-01,3.748312850691912224e-01,1.668431147131253789e-02,6.160678309550571101e-03
4.131018633051947164e-01,3.947330595014498789e-01,3.360600356018160761e-01,3.818943328066715104e-01,1.093871414186701682e-02,5.426106467396965734e-03
3.950379771373244142e-01,4.023796445646333764e-01,3.303606006039191967e-01,3.679379723592277052e-01,5.724676687576085200e-03,1.165369882682676730e-02
3.674524131247240422e-01,3.790501882578958259e-01,4.001393562228867662e-01,3.771218285199446352e-01,9.254861783657806693e-03,7.128212817264972800e-03
3.792996279133827309e-01,3.706467754789004032e-01,3.830479634985340387e-01,3.859637923240090696e-01,6.245015695803669484e-03,4.704183833971310215e-03
3.776208379779603663e-01,3.841359681796602810e-01,3.739699970806851237e-01,3.791046665502073587e-01,3.199315536174830114e-03,7.687673192587698295e-03
3.675078812428492214e-01,3.946668884421422607e-01,3.820531387141701263e-01,3.846302342779046035e-01,1.426791727754878712e-08,8.482861750242145712e-03
