Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
-1.858508722737383101e-01,-1.602243452382696720e-01,-1.614528046730426269e-01,-2.154874950399383871e-01,2.028664439807892073e-01,2.132965516113284055e-01,1.754676778677045357e-01,-1.909864830364135235e-01,-1.882338934404470532e-01
-1.681810966505739025e-01,-1.742220327603586916e-01,-1.781280562336997608e-01,-2.043008583236424480e-01,1.933987909496960866e-01,1.885983982051344376e-01,1.932171150099560863e-01,-2.223561089807911950e-01,1.764599467820796574e-01
-1.652114562941343900e-01,-1.662125511027668923e-01,-1.570971767676448971e-01,-2.230513336239166866e-01,2.014387680638670963e-01,1.781638108844786905e-01,2.005139142500814431e-01,2.000665778926743743e-01,-2.153510826276417434e-01
-1.918611085531422289e-01,-1.839730929530939418e-01,-1.738581570856281289e-01,-2.105903808237347408e-01,1.947837747099870065e-01,1.843005594519786794e-01,2.066870339686255054e-01,2.016620661066712006e-01,2.204198474611381575e-01
-1.888241317798436403e-01,-1.859679294963280938e-01,-1.651394172577001496e-01,1.593895331286884764e-01,-1.833574369113216695e-01,-2.103584769206253147e-01,-1.837986873436789070e-01,-1.728664978551507636e-01,-1.800437223816785670e-01
-1.788799514138118829e-01,-1.930204541502908433e-01,-1.630010911119031125e-01,1.826153780928884141e-01,-2.167435082439170269e-01,-2.128621669736444344e-01,-1.830230471522127922e-01,-1.961519010258262474e-01,1.818549835403646675e-01
-1.790981581978894621e-01,-1.728454546726725938e-01,-1.720922435509330828e-01,1.599975925138505950e-01,-2.003478132220830876e-01,-2.133333725985039897e-01,-2.025921348567850666e-01,1.853760991861599650e-01,-2.101756181551620861e-01
-1.963497967094197105e-01,-1.769677930795890142e-01,-1.695009276067117876e-01,1.767821797062709699e-01,-1.901961309424887447e-01,-2.087237146541050525e-01,-2.046166668197368088e-01,2.078097036325164682e-01,1.855233158360685974e-01
-1.856744028371313804e-01,-1.662388439009108154e-01,-1.746163764382805961e-01,1.893686497561795357e-01,-1.879954085339577696e-01,-1.789682433218569013e-01,1.887766108345130256e-01,-2.185195604672105496e-01,-1.997169008206235163e-01
-1.637400113593270867e-01,-1.842513878311204112e-01,-1.727607318216555776e-01,1.693391180132207963e-01,-1.875009394417069541e-01,-2.086689680570063543e-01,1.967325332074761624e-01,-2.154276863128948005e-01,2.072182623936641155e-01
-1.788905516711283006e-01,-1.561025346586073781e-01,-1.593704243426499467e-01,1.769516337495771752e-01,-1.958711029646560409e-01,-2.152017088287241642e-01,2.047899376694349849e-01,1.945023803476251256e-01,-2.113746911828577602e-01
-1.639855640195735098e-01,-1.591882300900713809e-01,-1.774487592120050361e-01,1.677449971134384599e-01,-2.109515712629771167e-01,-1.984648967488012450e-01,2.426662896645821743e-01,2.083499668112640812e-01,2.235116224396699325e-01
-1.964222456334762945e-01,-1.682260558164071496e-01,-1.676433311432675710e-01,1.802174655100069189e-01,-2.067609254842899258e-01,2.061264436037246739e-01,-1.834902043927463533e-01,-1.946049643078107683e-01,-1.720981374614898307e-01
-1.649039954709032030e-01,-1.739331128886493494e-01,-1.870723895108923340e-01,1.987215171190926943e-01,-2.373948605488309938e-01,1.953804374720125581e-01,-1.964192188856195009e-01,-1.886245774823545884e-01,1.643392553314197424e-01
-1.748179762032806006e-01,-1.688104836213163984e-01,-1.817559411033000116e-01,1.938738690713733281e-01,-2.289897525050899607e-01,2.022551586556638747e-01,-1.843431228062783478e-01,1.716639317691400213e-01,-1.865301555829071978e-01
-1.698720790399127767e-01,-1.739972120140341194e-01,-1.615338264087785025e-01,1.906897033886470194e-01,-2.172849202046474859e-01,2.019680562485262065e-01,-2.080531563158504738e-01,2.071769748349459039e-01,2.010486275618776353e-01
-1.646131863778045046e-01,-1.856092769956702859e-01,-1.560334674359765972e-01,1.799283749737526084e-01,-2.227004854986812388e-01,1.988402554854231397e-01,1.632179537495834221e-01,-1.915257170036963608e-01,-1.910123327497210144e-01
-1.479972967857136334e-01,-1.672438914183975445e-01,-1.809031407509136824e-01,2.080573176744402175e-01,-2.121066897105318982e-01,1.944311647162093593e-01,1.819836632713797142e-01,-2.315366688887160740e-01,1.897780409042111316e-01
-1.726373026859888971e-01,-1.724764996783803572e-01,-1.635749228905397090e-01,1.972103558227121245e-01,-2.125288577792998068e-01,2.067926981161748168e-01,1.728307953349273174e-01,1.766626916160297656e-01,-2.086175242745044456e-01
-1.688664217473315465e-01,-1.661758911040067399e-01,-1.496475756736193041e-01,1.863248635061082459e-01,-2.145002565602897315e-01,1.921610269641460811e-01,2.050701452526400848e-01,2.454555261972873881e-01,2.284534976428315434e-01
-1.800921868293962058e-01,-1.740375389388274241e-01,-1.865618664194652887e-01,1.973220603090877212e-01,2.005178231469392502e-01,-2.175238404297749895e-01,-1.696766093725114999e-01,-1.782241458362108788e-01,-1.857484682508484530e-01
-1.669907369888339321e-01,-1.818552907830734700e-01,-1.761936281683734173e-01,1.828970301087747274e-01,1.978334306353400629e-01,-2.033700913365769636e-01,-1.893405482934709394e-01,-1.973497010741487867e-01,1.841525758108051025e-01
-1.902530089647855027e-01,-1.776454202322402809e-01,-1.704782229292735596e-01,1.903920421154857157e-01,2.133476880524340924e-01,-2.159875003109123781e-01,-1.779996412120687377e-01,1.830849215021129184e-01,-1.900236639122558080e-01
-1.861595725880236252e-01,-1.716497307636068725e-01,-1.728710271714055668e-01,1.971967026091566710e-01,1.793737333995840399e-01,-2.071089506719916429e-01,-2.022032954946867134e-01,2.051149668275425164e-01,2.113446541472282780e-01
-1.780451150088174783e-01,-1.776913740437524314e-01,-1.574270032524473228e-01,1.905237809501198754e-01,2.244818323469131849e-01,-2.133206070321092551e-01,1.681205117692500250e-01,-2.061534117468886429e-01,-1.899322175947120994e-01
-1.685803061420792226e-01,-1.766913626830737272e-01,-1.644138988886185704e-01,1.896438117502152465e-01,2.047648581734653750e-01,-2.227772283735859060e-01,1.946227147546708280e-01,-2.119692324098045311e-01,2.145420030485380158e-01
-1.909319140448514640e-01,-1.704339467799918240e-01,-1.515095069362718538e-01,1.887497025653170624e-01,1.907342281584117061e-01,-2.112621608377724114e-01,1.948749754538868784e-01,1.883099037082976435e-01,-2.159439033901907334e-01
-1.699386885670795544e-01,-1.705247080620521105e-01,-1.730561649550065861e-01,1.826190412641028327e-01,2.003034309029755600e-01,-2.020735715345047534e-01,2.167728476304474350e-01,2.231516789034913573e-01,2.145176731402155534e-01
-1.762676696909527274e-01,-1.909730442204738421e-01,-1.622704671133634313e-01,2.174280193416121276e-01,2.292426256563586395e-01,2.108060598969443700e-01,-1.832130335483385108e-01,-1.624580530818828528e-01,-1.676135778451985636e-01
-1.746490772939116309e-01,-1.614311777810886750e-01,-1.530612945447318296e-01,2.008613810588780746e-01,2.463529129454881672e-01,1.996305814635609410e-01,-1.970072475583852234e-01,-1.860525709726937593e-01,1.645418461596494797e-01
-1.805733071152455238e-01,-1.818757921213567941e-01,-1.663675503416512103e-01,2.194291585646970522e-01,2.108413613307164314e-01,2.441057322300007604e-01,-1.731097393320049638e-01,1.820051135124602648e-01,-2.043111382477675042e-01
-1.858372616381796238e-01,-1.592219779435366522e-01,-1.702663736474998579e-01,2.086891937680403764e-01,2.099463386554306366e-01,2.091791191137977735e-01,-2.036016419927320353e-01,1.753451864060820986e-01,1.832409608005334811e-01
-1.775974037408098727e-01,-1.700127579033019753e-01,-1.693282675743055521e-01,2.123799986651184191e-01,2.178547537214396423e-01,2.076194949648133559e-01,1.604109729636136461e-01,-1.894510088091695132e-01,-1.962958065714580369e-01
-1.851305058662220671e-01,-1.764064810075773870e-01,-1.613011399664728007e-01,2.048881228935653387e-01,2.122628373643546673e-01,2.042902250186001412e-01,1.848727971249075619e-01,-2.095191090303083203e-01,1.878936990663478690e-01
-1.652179303963783041e-01,-1.730459671083553752e-01,-1.613266558077636470e-01,2.147415163485420775e-01,2.126984548574587242e-01,2.225794018010165687e-01,1.787032979846100433e-01,1.795303402698993356e-01,-2.242337837932022460e-01
-1.530176346666807796e-01,-1.587202939559463899e-01,-1.713104783556812227e-01,2.041816348692680472e-01,2.191349318950827352e-01,2.256602637606691386e-01,2.061851606772012457e-01,2.180444545221724151e-01,1.878995974689691706e-01
-1.907436368750184408e-01,-1.974853536914117358e-01,1.605565759884186872e-01,-1.716274562706460727e-01,-1.742875667278031282e-01,-1.925254244029051542e-01,-1.770185172213926406e-01,-1.918327330637891737e-01,-1.796066352729219495e-01
-2.190231714406968844e-01,-1.894341735485778333e-01,1.675895965884184879e-01,-1.767540055675866084e-01,-1.745728825102984827e-01,-1.754837423201160707e-01,-1.950734662567072397e-01,-1.859713450220520092e-01,1.646504256136527844e-01
-1.700887233084884542e-01,-1.888295368617983749e-01,1.590520746124922391e-01,-1.645799332673913151e-01,-1.951092492642042819e-01,-1.889929880797091288e-01,-2.163254949310461916e-01,1.883676289870988840e-01,-2.128998720905825315e-01
-1.980348828687989171e-01,-1.970763707989680591e-01,1.707321453319950444e-01,-1.778208360478985839e-01,-1.583566589685721782e-01,-1.678011068322910748e-01,-2.047386839853592155e-01,2.196703444351346957e-01,2.018641928405070507e-01
-2.123903489846053760e-01,-2.000179022251676597e-01,1.834602157093714048e-01,-1.639034793588848571e-01,-1.759189501539303591e-01,-1.899597733069478822e-01,1.794724701560129199e-01,-2.212255839160648108e-01,-2.021509968453701900e-01
-2.040444706732285618e-01,-1.974946930438445380e-01,1.666625211745990653e-01,-1.906541791398038144e-01,-1.799333355943439350e-01,-1.684974822577064990e-01,1.824541203396952693e-01,-2.159032655345111407e-01,2.061202425886824730e-01
-2.000656473999294915e-01,-1.992979435866345794e-01,1.704172701391774847e-01,-1.713027980517816129e-01,-1.593446227249128988e-01,-1.760538208932729276e-01,2.061196692089973248e-01,2.117106234769904061e-01,-2.327777152555028095e-01
-1.908608643237185709e-01,-1.797699358426572691e-01,1.672990568777836806e-01,-1.676843582202237615e-01,-1.718964997611025503e-01,-1.617463655741263329e-01,2.129792771127092255e-01,2.124556273075822732e-01,2.502295650774854496e-01
-1.984137287926757143e-01,-1.892085664365755204e-01,1.670163576588252208e-01,-1.980308498531750672e-01,-1.940043375827113226e-01,1.796342228000136487e-01,-1.617248709505293980e-01,-1.740650131640874287e-01,-1.767344447176338040e-01
-2.048415781388443491e-01,-1.884814953890519285e-01,1.573526487231025339e-01,-1.934958031235518017e-01,-1.965957911995325214e-01,1.935025573596923509e-01,-1.853185198828580516e-01,-2.068769653129325092e-01,1.724499476364927675e-01
-2.091673385862010681e-01,-1.833441871433415249e-01,1.853345314370552777e-01,-1.832507738493681093e-01,-2.075835794428466663e-01,1.722057586935380191e-01,-1.974467949217985629e-01,1.692428383501063671e-01,-2.029567831446991710e-01
-1.915456632783880120e-01,-1.860133104465929998e-01,1.715889935082297868e-01,-2.049785816267440663e-01,-2.057137857220320831e-01,1.683072093172247041e-01,-2.105842855177246509e-01,1.925500068171919765e-01,1.899721316216325950e-01
-1.956413664539275177e-01,-1.888058973035245669e-01,1.615616334712713931e-01,-1.759190148279096699e-01,-1.867481129708037924e-01,1.917702339952634394e-01,1.868122642728080873e-01,-1.988245261684623566e-01,-2.066486587442755429e-01
-1.918254947352963646e-01,-1.894814250369690478e-01,1.580906861823767606e-01,-1.846706810373713592e-01,-1.990685108927788549e-01,1.704225263101935006e-01,1.854228784665555019e-01,-2.206757990528245839e-01,2.171251007971284896e-01
-1.987137512392864735e-01,-1.825716208352691772e-01,1.758611797422622025e-01,-2.001520319204636023e-01,-1.964740881204967704e-01,1.639946108481043774e-01,1.904522926959244800e-01,2.084907140235412182e-01,-1.920362036704126585e-01
-1.967197180135270562e-01,-1.869745026102778984e-01,1.815913494894898506e-01,-1.777592180191523707e-01,-1.959471983924386540e-01,1.591419742888266764e-01,1.920117985207949740e-01,2.211000912208087033e-01,2.076217027772500334e-01
-1.992756540319518266e-01,-1.920573223473904245e-01,1.661860813727445985e-01,-1.886553987170478397e-01,1.762705175495237198e-01,-1.906375159533248986e-01,-1.813926597348989589e-01,-1.809067701829769614e-01,-1.858644221500181659e-01
-1.891569582465146560e-01,-1.819052045681667229e-01,1.554982081172363029e-01,-1.715838441590479546e-01,1.836301487427398904e-01,-1.891317052426574052e-01,-2.116690204430629885e-01,-2.254450047193478079e-01,1.804034476983859270e-01
