Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
1.129951934760159166e-03,8.596279206688277677e-03,-2.488266300318507929e-01,-2.544743929769412993e-01,-2.125325417206719858e-01,-2.068528556305276878e-01,2.536330561942050643e-01,1.918484794808697769e-01,-2.377053406182210726e-01,3.826917138142426743e-03
-6.730292161193664451e-04,-5.453990700408136577e-03,-2.196275616448499501e-01,-2.218309035392611317e-01,-2.091467863920630776e-01,-2.057391068324228578e-01,2.477305247472282590e-01,2.105341304188087515e-01,2.421456634442344102e-01,5.872192963264339857e-03
-5.144822084420025074e-03,-5.952443458648342582e-04,-2.368647915788753555e-01,-2.424815086239008599e-01,-2.042003453178499739e-01,-2.062369052146590664e-01,2.277936107057038917e-01,1.993276462481667066e-01,2.522234850171633513e-01,1.641439264855193729e-03
3.890636277707520876e-03,5.507854690530726745e-03,-2.512990032306671173e-01,-2.463727979075492902e-01,-2.291832554923902698e-01,2.247709883648850993e-01,-2.442892040975755685e-01,-2.022681082563714261e-01,-2.381421588153629920e-01,-1.834636971404373512e-02
3.504658641864853708e-03,3.137293921168680597e-04,-2.506376186309816623e-01,-2.553919940879357808e-01,-2.119529250119106256e-01,2.224396992253015737e-01,-2.445313831142233441e-01,-2.260478303830616154e-01,-2.453684963948957465e-01,-2.461394684812736461e-03
-8.053238402877435295e-03,-7.184022432417148940e-03,-2.539367920191026307e-01,-2.477149036774256852e-01,-1.941905549652478136e-01,2.273997352124901283e-01,-2.382410895718875266e-01,-2.098158116408026796e-01,2.513826063802339084e-01,-1.252813389792058543e-02
-1.205210547468831515e-03,8.171142667840905136e-03,-2.501171643266559830e-01,-2.302078960400249230e-01,-2.063403003786211665e-01,2.130833588983346571e-01,-2.434873573187163465e-01,-2.065337367436560767e-01,2.534835106022026441e-01,-2.087617748656988344e-03
-2.500127717309244112e-03,-5.847569961978420043e-03,-2.312756705471744612e-01,-2.319702055344249336e-01,-2.153073964144192609e-01,2.048210208165465451e-01,-2.357438096681867268e-01,2.124635637097314345e-01,-2.411748967902307139e-01,-1.007058762082188065e-02
-9.934419542701154737e-03,-7.659712000552750498e-03,-2.415793528388719413e-01,-2.392592705348887960e-01,-2.066906674273902011e-01,2.221057874738480709e-01,-2.479454868700071979e-01,2.242487250275481958e-01,-2.333073459097541880e-01,1.067905157007448258e-02
-1.518167932070860551e-03,-1.169511765588473725e-03,-2.339051421096298433e-01,-2.438221770191970339e-01,-1.939011421774604338e-01,2.193462329818546830e-01,-2.433371371134471495e-01,1.972984142009775455e-01,2.191382399780583135e-01,1.408510450573876617e-02
4.954514840592256532e-03,6.332142620628928697e-04,-2.372074634960050221e-01,-2.256338290606957342e-01,-1.884117133398057198e-01,2.098382666112868222e-01,-2.375099597795452544e-01,2.000872727957751784e-01,2.380650340600264925e-01,1.176974494682251227e-03
-3.901288020329631576e-05,3.322435069239505073e-03,-2.457888956790081625e-01,-2.494238089409942516e-01,-2.058960733548709787e-01,2.032845587091499928e-01,2.425750054294314728e-01,-2.000621520000302467e-01,-2.521448788003324282e-01,-5.906517245267540019e-04
5.443657280509144741e-03,1.143365335914149281e-02,-2.314736123722975492e-01,-2.382790183485484770e-01,-2.116711919548968368e-01,2.071473356331256233e-01,2.514051286645868077e-01,-2.008113226559815612e-01,-2.510647253405111634e-01,4.570436894368866063e-03
8.163908430545714634e-03,-7.192013756908356009e-03,-2.286359822934168062e-01,-2.375657413873146495e-01,-2.059646522130468838e-01,2.055994705395031430e-01,2.464269026618339242e-01,-2.098985664171429122e-01,2.309495269072188994e-01,-1.100212685759470411e-03
8.033793834864959293e-03,5.334564627884294009e-03,-2.438749304582007171e-01,-2.474476407884330931e-01,-2.022245764203356722e-01,2.059790512524720396e-01,2.373082319762189196e-01,-2.168921011333967697e-01,2.414170341871537395e-01,-6.246946871177468455e-03
6.541375977861544006e-04,1.333047556739886882e-02,-2.161159400215048876e-01,-2.438661940303880060e-01,-2.072902261281630021e-01,2.097583823233808431e-01,2.429165101185489228e-01,2.105180663038592748e-01,-2.367447369243760591e-01,-5.719351137157107842e-03
-4.634884171484853800e-03,-3.991851946072542609e-03,-2.232251539652693184e-01,-2.425482518337554183e-01,-2.261413237809060950e-01,2.112804116988158676e-01,2.463707698066341933e-01,2.026224350038200728e-01,-2.376179946905201679e-01,-3.368875742886465793e-03
1.776340513154714201e-03,-1.089155060193581180e-02,-2.209927631896375644e-01,-2.375604061396893174e-01,-2.070142224138060427e-01,2.178853394923483955e-01,2.275920919022116351e-01,2.059546385377570843e-01,2.203755434357379528e-01,-1.911983154482622613e-02
