Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
5.649883505676195350e-02,2.191407836058049952e-02,-1.935521570026101090e-02,7.231439648044551277e-03,2.710764901495235635e-02,-2.617564741925463775e-02,2.701355089123233218e-04,2.298949031569094345e-02,-4.494795849881305649e-02,8.089106564161369084e-02
3.846564737138044587e-02,-4.185056598349910784e-03,1.513933713714967801e-02,2.802347681813024613e-02,1.645329614205342378e-02,1.157136886146506623e-02,4.187241806812349448e-02,2.196515056525681978e-02,-2.378302834470001452e-03,-4.020260804163210827e-02
7.584995116180567876e-02,1.758174077285964282e-02,-3.369879773933753125e-03,2.626038886766299957e-03,1.899160844649572591e-02,-3.885726988146230576e-02,4.017164961913169408e-02,7.807147731333620791e-03,1.075759302952276203e-02,7.427492796655199569e-02
6.541667382911063588e-02,3.539451924951694806e-02,-2.308290254843458570e-03,6.346297414680947442e-03,-3.632510201978121113e-03,-1.160094052611226542e-02,4.726523784133694617e-02,-1.128168834165239713e-02,1.622645717710462926e-02,-7.247205745777701713e-02
5.147281477798916483e-02,3.382855234978071612e-02,-9.585798689935965213e-05,1.356195241436666116e-02,2.850472554738915773e-04,-1.594225542205368953e-02,2.599317295889760557e-02,-8.699990809270738423e-03,1.211400003968423136e-02,7.962480831279136750e-02
6.178025918705801894e-02,1.643913941159292529e-03,-6.638851202871495077e-03,1.293282472875158760e-02,-1.189674116710352433e-02,-8.315562986450189195e-03,3.136370465770479260e-02,9.644616251986806374e-03,-1.061701955909371761e-02,-6.041821483632936474e-02
6.338580128227630506e-02,4.357665359275492839e-02,-1.607723105283738463e-02,-1.753567915257524257e-02,1.004329274034265751e-02,1.646266002196302217e-02,-1.231574671665020687e-02,2.018202627281627179e-02,3.009974687898908305e-02,8.864761806015040990e-02
4.419074182953519614e-02,1.435823812109790314e-02,-3.947287430808112119e-02,-7.169858222602805420e-03,2.765226431652949637e-02,2.519405137214715887e-03,-1.768406856245545444e-02,2.550832209530369196e-02,1.928925398662960020e-02,-5.411694127979768676e-02
4.384296281990275601e-02,1.192267305920096700e-02,-4.584570804372840522e-03,2.923415039579397787e-02,-5.432545417515013443e-03,6.532931588664268006e-03,-2.149582953599526308e-02,-1.477403090563655713e-03,-1.341295290628814751e-02,7.238092887854771784e-02
4.642746491238759765e-02,4.647230389242137244e-02,1.909331136363730946e-02,6.721834301251938641e-03,2.950321723817419389e-02,6.146360958318692431e-04,-2.233065750778074135e-02,1.649891491634858029e-02,-1.959264237078139209e-02,-6.313817384051106929e-02
5.583920241912216503e-02,1.352161470332842452e-02,8.232190583451213031e-03,-4.554384258114035217e-03,4.523624999028538242e-03,9.610133034088558235e-03,-3.165919702784860540e-02,-1.905240645491399279e-02,-6.455403638314914996e-03,5.951446352858776739e-02
6.545459895625535540e-02,2.418250301251637785e-02,1.793889148966418311e-03,-1.133712331480502336e-02,9.891352984600556425e-03,1.523455105333241730e-02,-3.005933350759076861e-02,-9.770094827631529283e-03,-1.593500514925952002e-03,-9.821765469690858785e-02
4.287383538828909435e-02,3.628757121756201465e-02,-1.460624763660424257e-02,-6.290544509017745832e-03,1.390253227448419969e-02,-5.545015818481046320e-03,-2.219646400487104015e-02,9.289599000797380988e-04,-1.349902337856426042e-02,4.723585487108336589e-02
4.002121264478959023e-02,1.216648796563111340e-02,1.091358777707483220e-03,-1.176392692956445066e-02,1.082104286035009272e-02,2.457654516384676774e-02,-7.270429411818027723e-03,-3.307876085236457347e-02,-8.615055731956892601e-03,-5.816541772374422825e-02
6.717436894522144097e-02,1.276218515698054022e-02,-2.829895181241404503e-03,3.354625945688539598e-03,4.712085864364280209e-03,1.634185737141861938e-02,5.013841159391163593e-02,2.509987642751679640e-02,1.050566406701662538e-03,6.631882697674978955e-02
3.992317454494902912e-02,7.121403100577847374e-03,1.663690302903758286e-02,1.298883545906481633e-02,3.076370660436588897e-02,2.960588617053265884e-02,3.311542864360807539e-03,3.152788652304919226e-02,1.980807689134370109e-02,-6.658505953750512574e-02
3.925024418293879269e-02,3.311962319061074328e-02,-1.624637046224411407e-02,2.981594824674744376e-02,3.672130400781636623e-03,2.062805940787571651e-02,1.011407963002490702e-02,2.113294843097960826e-02,8.991626722957076975e-03,7.435640005810587039e-02
